
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: mode: prune
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: model: vgg19
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: verbose: False
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataset: cifar100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: dataroot: data
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: batch_size: 128
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: total_epochs: 100
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_milestones: 40,80
[09/09 17:55:56] cifar100-global-group2-vgg19 INFO: lr_decay_gamma: 0.1
[09/09 18:25:13] cifar100-global-group2-vgg19 INFO: Epoch 87/120, Acc=0.6885, Val Loss=1.2660, lr=0.0010
[09/09 18:25:30] cifar100-global-group2-vgg19 INFO: Epoch 88/120, Acc=0.6861, Val Loss=1.2709, lr=0.0010
[09/09 18:25:47] cifar100-global-group2-vgg19 INFO: Epoch 89/120, Acc=0.6821, Val Loss=1.2888, lr=0.0010
[09/09 18:26:06] cifar100-global-group2-vgg19 INFO: Epoch 90/120, Acc=0.7044, Val Loss=1.1991, lr=0.0001
[09/09 18:26:23] cifar100-global-group2-vgg19 INFO: Epoch 91/120, Acc=0.7044, Val Loss=1.1969, lr=0.0001
[09/09 18:29:15] cifar100-global-group2-vgg19 INFO: Epoch 92/120, Acc=0.7050, Val Loss=1.1955, lr=0.0001
[09/09 18:32:43] cifar100-global-group2-vgg19 INFO: Epoch 93/120, Acc=0.7059, Val Loss=1.2022, lr=0.0001
[09/09 18:36:22] cifar100-global-group2-vgg19 INFO: Epoch 94/120, Acc=0.7085, Val Loss=1.1977, lr=0.0001
[09/09 18:39:43] cifar100-global-group2-vgg19 INFO: Epoch 95/120, Acc=0.7076, Val Loss=1.1968, lr=0.0001
[09/09 18:43:18] cifar100-global-group2-vgg19 INFO: Epoch 96/120, Acc=0.7078, Val Loss=1.1997, lr=0.0001
[09/09 18:46:41] cifar100-global-group2-vgg19 INFO: Epoch 97/120, Acc=0.7092, Val Loss=1.2011, lr=0.0001
[09/09 18:50:20] cifar100-global-group2-vgg19 INFO: Epoch 98/120, Acc=0.7073, Val Loss=1.2068, lr=0.0001
[09/09 18:55:23] cifar100-global-group2-vgg19 INFO: Epoch 99/120, Acc=0.7075, Val Loss=1.2099, lr=0.0001
